Component1	Component2	Component3	Component4	Component5	Component6	Component7	Component8	Component9	Component10
474	-0.01562	-0.02512	-0.00014	-0.01897	-0.00963	-0.02473	0.02022	-0.01041	-0.00139	0.0034
478	-0.02302	-0.01931	0.01107	-0.01564	-0.01024	-0.02328	0.01314	-0.00336	-0.00109	0.01213
481	-0.02729	-0.01621	0.01732	-0.01114	-0.01108	-0.01942	0.00681	0.00017	-0.0011	0.01438
482	-0.02937	-0.01498	0.02029	-0.00839	-0.01206	-0.01719	0.00315	0.00146	-0.00163	0.0143
483	-0.03038	-0.01442	0.02177	-0.00684	-0.01266	-0.01597	0.00101	0.00214	-0.00193	0.0138
487	-0.03478	-0.01082	0.02849	0.00196	-0.01279	-0.00668	-0.0103	0.00593	0.00141	0.00881
488	-0.03604	-0.0099	0.03037	0.00479	-0.01303	-0.00377	-0.01383	0.00669	0.00223	0.00644
490	-0.03875	-0.00814	0.03449	0.01135	-0.01419	0.0026	-0.02229	0.00819	0.00337	-0.00046
492	-0.03986	-0.007	0.03601	0.01458	-0.01384	0.00636	-0.02555	0.00812	0.00436	-0.00411
493	-0.04019	-0.00621	0.03625	0.01606	-0.01281	0.00863	-0.02598	0.00706	0.00511	-0.0058
496	-0.04138	-0.00532	0.03801	0.01959	-0.01322	0.01223	-0.03026	0.00735	0.00568	-0.01073
497	-0.04154	-0.00496	0.03814	0.02033	-0.01281	0.01329	-0.0306	0.00693	0.00598	-0.0117
500	0.01146	-0.04315	-0.03611	0.01755	-0.00402	0.03241	-0.01338	0.01339	0.00627	0.01516
501	0.01145	-0.0425	-0.03501	0.01684	-0.00286	0.02943	-0.01342	0.01051	0.00725	0.01555
503	0.01139	-0.04182	-0.03381	0.01601	-0.00172	0.02617	-0.01332	0.00736	0.00809	0.01585
504	0.01031	-0.04162	-0.03317	0.01369	-0.0026	0.02368	-0.01066	0.00559	0.00811	0.01221
507	0.00757	-0.04069	-0.03075	0.00767	-0.0043	0.01569	-0.004	-0.00041	0.00768	0.00411
508	0.00713	-0.04	-0.02949	0.00625	-0.00363	0.0124	-0.00309	-0.00304	0.00842	0.00332
509	0.00506	-0.03957	-0.02821	0.00241	-0.00569	0.00883	0.00176	-0.00461	0.00692	-0.00238
510	0.00415	-0.03929	-0.02743	0.00077	-0.00639	0.00679	0.00372	-0.00584	0.00622	-0.00422
512	0.00198	-0.03733	-0.02381	-0.00373	-0.00597	-8e-04	0.00756	-0.00982	0.00674	-0.00674
515	-0.00156	-0.03489	-0.01915	-0.0092	-0.00659	-0.0086	0.0128	-0.01225	0.00583	-0.00817
518	-0.00589	-0.03134	-0.0129	-0.01449	-0.00636	-0.0164	0.01711	-0.01279	0.00571	-0.00585
520	-0.00899	-0.02892	-0.00847	-0.0172	-0.00655	-0.02074	0.01912	-0.01247	0.00468	-0.00302
524	-0.01719	-0.02152	0.00343	-0.01898	-0.00511	-0.02344	0.01824	-0.00528	0.00592	0.00861
531	-0.0283	-0.01369	0.01889	-0.00924	-0.00767	-0.01525	0.00539	0.00214	0.00327	0.01575
533	-0.03073	-0.01169	0.0223	-0.00517	-0.00759	-0.01088	0.00093	0.00336	0.00417	0.01488
534	-0.03167	-0.01113	0.02359	-0.00343	-0.00799	-0.00928	-0.00104	0.00355	0.00407	0.01388
536	-0.03467	-0.00781	0.02757	0.00363	-0.00614	-0.00041	-0.00722	0.00362	0.00706	0.00952
538	-0.03636	-0.00624	0.02978	0.00809	-0.00582	0.0046	-0.01127	0.00295	0.00784	0.00523
540	-0.03835	-0.00599	0.03301	0.01232	-0.00882	0.00719	-0.01827	0.00445	0.00686	-0.00013
542	-0.03979	-0.00525	0.03513	0.01617	-0.01007	0.01049	-0.0232	0.00466	0.00642	-0.00539
544	-0.04056	-0.00449	0.03607	0.01868	-0.01001	0.01321	-0.02546	0.00395	0.00648	-0.00888
545	-0.04069	-0.00402	0.03609	0.01948	-0.00932	0.01451	-0.02549	0.00315	0.00683	-0.00986
546	-0.04104	-0.00399	0.03671	0.02029	-0.00986	0.01507	-0.02696	0.00361	0.00685	-0.01109
547	-0.04094	-0.00354	0.03631	0.02055	-0.00875	0.01605	-0.02593	0.0024	0.00728	-0.01125
549	0.01278	-0.04135	-0.03338	0.0183	0.00056	0.0263	-0.01673	0.00683	0.00867	0.02098
552	0.01236	-0.04044	-0.03176	0.01648	0.00161	0.02176	-0.01568	0.0029	0.00977	0.01962
553	0.01153	-0.04023	-0.03122	0.01461	0.00111	0.01971	-0.01372	0.00149	0.01024	0.01678
555	0.00966	-0.03995	-0.0302	0.01072	-0.00046	0.01562	-0.0092	-0.0014	0.01028	0.01086
556	0.00887	-0.03951	-0.02931	0.00885	-0.00072	0.0131	-0.00732	-0.00297	0.01045	0.00834
559	0.0052	-0.03816	-0.02616	0.00141	-0.00321	0.00465	0.0011	-0.00736	0.00939	-0.0017
560	0.00368	-0.03706	-0.02418	-0.00173	-0.00334	0.00045	0.00407	-0.0091	0.00986	-0.00438
561	0.00274	-0.03669	-0.02331	-0.00325	-0.00389	-0.00141	0.00581	-0.00993	0.00936	-0.00548
563	0.00022	-0.0348	-0.01997	-0.00751	-0.00406	-0.00705	0.00979	-0.01134	0.00949	-0.00722
566	-0.00353	-0.0315	-0.01446	-0.0126	-0.00338	-0.01422	0.01391	-0.01176	0.01035	-0.00571
569	-0.00824	-0.02741	-0.00792	-0.01729	-0.00265	-0.02009	0.01759	-0.00994	0.01095	-0.00136
570	-0.00987	-0.02581	-0.00557	-0.01845	-0.00209	-0.02136	0.01829	-0.00862	0.01154	0.00083
573	-0.0143	-0.02082	0.00088	-0.02008	7e-04	-0.02196	0.01866	-0.00317	0.01477	0.00852
575	-0.01833	-0.01808	0.0061	-0.01901	-0.00033	-0.02138	0.01699	-0.00053	0.0127	0.01323
577	-0.02101	-0.01671	0.00948	-0.01724	-0.00194	-0.02035	0.01482	0.00057	0.01018	0.0151
582	-0.02835	-0.01106	0.01899	-0.00832	-0.00255	-0.0109	0.00604	0.00351	0.0088	0.01739
584	-0.03125	-0.00978	0.02281	-0.00332	-0.00468	-0.00692	0.00057	0.00333	0.00689	0.01457
589	-0.03641	-0.00527	0.02955	0.00896	-0.00392	0.0068	-0.01053	0.00185	0.00918	0.0048
591	-0.03926	-0.00507	0.03411	0.0152	-0.00868	0.01033	-0.02072	0.00352	0.0069	-0.00381
601	0.01292	-0.04016	-0.03142	0.0173	0.00267	0.02138	-0.01704	0.00226	0.01008	0.02167
603	0.01242	-0.0394	-0.03011	0.01548	0.00325	0.01783	-0.01572	-0.00039	0.01091	0.01949
604	0.01158	-0.03952	-0.03009	0.01394	0.00223	0.01703	-0.01376	-0.00073	0.011	0.01672
606	0.00996	-0.03897	-0.02886	0.01033	0.00128	0.01312	-0.00992	-0.00293	0.01158	0.01124
608	0.00675	-0.03761	-0.02596	0.00332	-0.00047	0.00504	-0.00242	-0.00722	0.01187	0.00146
609	0.0062	-0.03672	-0.02459	0.00164	0.00027	0.00223	-0.00136	-0.00844	0.01304	0
611	0.0037	-0.03573	-0.02244	-0.00265	-0.0012	-0.0024	0.00353	-0.01006	0.01229	-0.0039
612	0.0028	-0.03532	-0.02165	-0.00415	-0.0016	-0.00393	0.00518	-0.0104	0.01229	-0.00497
613	0.00099	-0.03384	-0.01917	-0.00724	-0.0014	-0.00796	0.00791	-0.01117	0.01306	-0.00591
614	-2e-04	-0.03336	-0.01811	-0.00869	-0.00205	-0.0095	0.00965	-0.01136	0.01245	-0.00605
616	-0.00367	-0.0298	-0.01275	-0.01348	-0.00057	-0.01563	0.01316	-0.01047	0.01452	-0.00403
617	-0.00477	-0.02893	-0.01131	-0.01475	-0.00054	-0.01717	0.01431	-0.01022	0.01453	-0.00339
618	-0.00654	-0.02709	-0.00878	-0.01665	0.00033	-0.01907	0.0157	-0.00883	0.01578	-0.00142
621	-0.01122	-0.0228	-0.00257	-0.0195	0.0014	-0.02154	0.01778	-0.00486	0.0164	0.00471
624	-0.01545	-0.01833	0.00313	-0.02017	0.00351	-0.02083	0.01782	1e-04	0.01836	0.01184
625	-0.0172	-0.01739	0.00516	-0.01964	0.00263	-0.02052	0.01737	8e-04	0.01672	0.01356
628	-0.02165	-0.01378	0.01071	-0.01651	0.00258	-0.01667	0.01441	0.00359	0.01531	0.01787
629	-0.02395	-0.01283	0.01348	-0.01412	0.00088	-0.01502	0.01206	0.00367	0.01293	0.01837
632	-0.02791	-0.01	0.01823	-0.00837	5e-05	-0.00917	0.0074	0.00338	0.01068	0.01784
634	-0.0302	-0.00824	0.02102	-0.00416	-0.00012	-0.00471	0.00392	0.00284	0.01024	0.01606
636	-0.03347	-0.00608	0.02526	0.0026	-0.00086	0.00206	-0.00237	0.00188	0.01021	0.01161
637	-0.03498	-0.00518	0.02726	0.00622	-0.00145	0.00551	-0.00595	0.00114	0.01019	0.00804
639	-0.03596	-0.00459	0.02857	0.00865	-0.00193	0.00775	-0.00842	0.00068	0.00998	0.00546
640	-0.03673	-0.00401	0.02949	0.01077	-0.00211	0.00984	-0.01025	-1e-04	0.00976	0.00297
641	-0.03764	-0.00336	0.03056	0.01346	-0.00259	0.01228	-0.01263	-0.00122	0.00896	-0.00061
642	-0.0385	-0.0018	0.03109	0.01708	-0.00135	0.01675	-0.01392	-0.00423	0.00855	-0.00539
644	-0.03938	-0.00151	0.03242	0.01936	-0.00236	0.01853	-0.01701	-0.00412	0.0082	-0.0087
646	-0.03963	-0.00107	0.0326	0.02042	-0.00193	0.01992	-0.01741	-0.005	0.00832	-0.01013
647	-0.03984	-0.00139	0.03316	0.02053	-0.00286	0.0195	-0.01864	-0.00407	0.00821	-0.0104
649	0.0147	-0.03846	-0.02903	0.0191	0.00663	0.01751	-0.02065	-0.00155	0.01014	0.02693
650	0.01438	-0.03859	-0.0292	0.01857	0.00617	0.01759	-0.01998	-0.00134	0.01036	0.02581
652	0.01323	-0.03828	-0.02845	0.01589	0.00577	0.0145	-0.01748	-0.00358	0.01175	0.02206
654	0.01151	-0.03876	-0.0289	0.013	0.00329	0.01428	-0.01354	-0.00274	0.01193	0.01606
655	0.00922	-0.03703	-0.02583	0.00692	0.00323	0.00616	-0.00802	-0.00716	0.01391	0.0074
658	0.00659	-0.03608	-0.02385	0.00165	0.0016	0.00109	-0.00223	-0.00894	0.01415	0.00034
662	0.00195	-0.03238	-0.01781	-0.00717	0.00183	-0.00947	0.00572	-0.01088	0.0165	-0.00524
665	-0.00213	-0.02927	-0.01294	-0.01258	0.00202	-0.01516	0.01077	-0.00981	0.01763	-0.00413
667	-0.00617	-0.02596	-0.00809	-0.01684	0.00256	-0.01905	0.0147	-0.00735	0.01856	-0.00078
670	-0.01011	-0.02197	-0.00293	-0.01961	0.00433	-0.02075	0.01684	-0.0032	0.0206	0.00484
671	-0.01278	-0.01988	3e-04	-0.0203	0.00439	-0.02111	0.01746	-0.00111	0.02019	0.00852
673	-0.01501	-0.01783	0.00306	-0.02033	0.00494	-0.02049	0.01748	0.00102	0.02031	0.01201
674	-0.01686	-0.01607	0.00522	-0.01997	0.00539	-0.01929	0.01735	0.0027	0.01989	0.01471
675	-0.01838	-0.0152	0.00687	-0.01911	0.00484	-0.01838	0.01683	0.00317	0.01877	0.01617
676	-0.01947	-0.01402	0.00823	-0.01853	0.00542	-0.01721	0.01638	0.00426	0.01907	0.01778
677	-0.02064	-0.01302	0.00961	-0.01747	0.00548	-0.01584	0.0156	0.00472	0.01858	0.01864
678	-0.02299	-0.01149	0.01245	-0.0149	0.00464	-0.01335	0.01331	0.00515	0.0167	0.0194
680	-0.02608	-0.00967	0.01602	-0.01064	0.00339	-0.00938	0.01007	0.00444	0.01431	0.01907
681	-0.02755	-0.00891	0.01773	-0.00844	0.0026	-0.00748	0.00827	0.00393	0.01305	0.01849
684	-0.0314	-0.00604	0.02215	-0.00095	0.00233	0.00039	0.00303	0.00148	0.01183	0.01481
685	-0.03338	-0.00489	0.02475	0.00336	0.00145	0.0044	-0.00125	0.00076	0.01139	0.01123
686	-0.03446	-0.00446	0.02623	0.00578	0.00071	0.00647	-0.00384	0.00031	0.01127	0.00886
689	-0.03625	-0.00355	0.02852	0.01026	-0.00053	0.0103	-0.00823	-0.0011	0.01025	0.00374
692	-0.03817	0.00016	0.02944	0.01855	0.00261	0.02061	-0.01038	-0.0089	0.00897	-0.00698
694	-0.03872	0.00037	0.03025	0.02003	0.00204	0.02181	-0.01225	-0.00896	0.00876	-0.00912
699	0.01647	-0.03641	-0.02608	0.02047	0.01102	0.01233	-0.02411	-0.00639	0.01049	0.03177
701	0.01558	-0.03652	-0.02618	0.0187	0.01008	0.01177	-0.02217	-0.00623	0.01136	0.0282
704	0.01262	-0.03726	-0.02692	0.0135	0.00641	0.0109	-0.0158	-0.00533	0.0131	0.01812
706	0.00986	-0.03596	-0.0245	0.00689	0.00525	0.00403	-0.00927	-0.0083	0.01508	0.00768
707	0.0085	-0.0354	-0.02346	0.00405	0.00457	0.00137	-0.0063	-0.00907	0.01568	0.00376
708	0.00737	-0.03502	-0.02263	0.00187	0.00384	-7e-04	-0.00386	-0.00978	0.01571	0.00103
711	0.00431	-0.03223	-0.01846	-0.00461	0.00458	-0.00798	0.00153	-0.0105	0.01865	-0.00397
713	0.00217	-0.03047	-0.01567	-0.00813	0.00479	-0.01205	0.00466	-0.0106	0.01955	-0.0049
714	0.00011	-0.02937	-0.01386	-0.01061	0.00429	-0.01401	0.00742	-0.00983	0.01975	-0.0044
717	-0.00548	-0.02517	-0.00778	-0.01668	0.00458	-0.01888	0.01342	-0.00631	0.02102	-0.00049
718	-0.00713	-0.02357	-0.00576	-0.01821	0.00522	-0.01979	0.01473	-0.00457	0.02188	0.00141
720	-0.00983	-0.02092	-0.0024	-0.01998	0.00624	-0.02061	0.01624	-0.00169	0.02278	0.00519
721	-0.01183	-0.01862	0.00028	-0.02082	0.00744	-0.02054	0.01675	9e-04	0.02363	0.00851
722	-0.01349	-0.01713	0.00213	-0.0209	0.00779	-0.01989	0.01703	0.00247	0.02338	0.01116
724	-0.01661	-0.01472	0.00529	-0.0203	0.00769	-0.01805	0.01729	0.00461	0.02159	0.01557
725	-0.01792	-0.01337	0.00688	-0.0196	0.00808	-0.01674	0.01673	0.00577	0.02124	0.01723
728	-0.0218	-0.01062	0.01112	-0.0162	0.00747	-0.01265	0.01467	0.00657	0.01876	0.02
729	-0.02334	-0.00972	0.01285	-0.0143	0.00694	-0.01085	0.01337	0.00628	0.01774	0.02029
730	-0.0251	-0.00861	0.01468	-0.01157	0.00647	-0.00815	0.01187	0.00512	0.0164	0.01981
733	-0.02906	-0.00516	0.01883	-0.00422	0.0068	7e-05	0.00781	0.00222	0.01415	0.01712
734	-0.03011	-0.00369	0.01972	-0.00154	0.00779	0.00356	0.00699	0.00054	0.0138	0.01552
735	-0.032	-0.00335	0.0222	0.00195	0.00602	0.00598	0.00342	-0.00053	0.01309	0.01301
737	-0.03458	-0.00321	0.02587	0.0071	0.00262	0.00906	-0.00307	-0.00138	0.01159	0.00767
743	-0.03779	0.00172	0.0279	0.01947	0.00595	0.02351	-0.00707	-0.01277	0.00928	-0.0079
744	-0.03779	0.00223	0.02757	0.02011	0.00672	0.02454	-0.00647	-0.01404	0.00907	-0.00872
745	-0.03781	0.00248	0.02744	0.02042	0.00711	0.02508	-0.00621	-0.01464	0.00904	-0.00913
747	0.01807	-0.03493	-0.02397	0.02216	0.01434	0.00908	-0.02719	-0.00959	0.01005	0.03638
753	0.01543	-0.03551	-0.02472	0.01717	0.01119	0.00861	-0.02153	-0.008	0.0125	0.02573
754	0.01407	-0.03578	-0.02501	0.01469	0.00951	0.00823	-0.01853	-0.00735	0.01335	0.02075
757	0.00978	-0.03437	-0.02243	0.00504	0.00714	0.00034	-0.00887	-0.00946	0.017	0.005
758	0.0088	-0.03333	-0.02085	0.00242	0.0074	-0.00289	-0.00669	-0.01037	0.01799	0.00161
760	0.00637	-0.0317	-0.01837	-0.00236	0.00731	-0.00742	-0.00235	-0.01051	0.02002	-0.00223
767	-0.00477	-0.02356	-0.00696	-0.01716	0.00766	-0.01885	0.0121	-0.00415	0.02439	-0.00051
770	-0.00904	-0.01857	-0.00148	-0.02068	0.01041	-0.01993	0.01485	0.00163	0.02681	0.00554
772	-0.01251	-0.01603	0.00188	-0.02126	0.01038	-0.01909	0.01633	0.00422	0.02561	0.01075
775	-0.01737	-0.01186	0.00648	-0.02011	0.0108	-0.01515	0.01702	0.00774	0.02269	0.01787
777	-0.0199	-0.00982	0.00915	-0.01809	0.01073	-0.01231	0.01603	0.00851	0.021	0.02006
782	-0.02785	-0.00443	0.01717	-0.00574	0.00941	0.00037	0.01003	0.00291	0.01544	0.01813
783	-0.02853	-0.00363	0.01777	-0.00412	0.00974	0.0023	0.00941	0.00193	0.01497	0.01715
785	-0.0303	-0.00145	0.01919	0.00047	0.01097	0.00778	0.00805	-0.00146	0.01413	0.01404
786	-0.03205	-0.00206	0.02173	0.00319	0.00795	0.00849	0.00427	-0.00215	0.0132	0.01184
788	-0.03323	0.00092	0.02179	0.00855	0.01084	0.01555	0.00423	-0.008	0.01194	0.00596
790	-0.03541	0.00219	0.02409	0.01469	0.00986	0.02096	0.00016	-0.01247	0.01025	-0.00146
791	-0.03624	0.00273	0.02493	0.01717	0.0095	0.02315	-0.00149	-0.01426	0.00951	-0.00469
792	-0.0366	0.00309	0.0252	0.01841	0.0096	0.02441	-0.00198	-0.01548	0.0092	-0.0063
793	-0.03694	0.00345	0.02546	0.01962	0.00967	0.02561	-0.00251	-0.01658	0.00887	-0.00791
795	-0.0373	0.00354	0.02593	0.02058	0.00925	0.02629	-0.00349	-0.017	0.00857	-0.00927
797	0.01883	-0.03395	-0.02256	0.02259	0.01581	0.00707	-0.02808	-0.01098	0.00934	0.03712
798	0.01832	-0.03438	-0.02318	0.02199	0.01484	0.00795	-0.02712	-0.01008	0.00963	0.03563
799	0.01833	-0.03428	-0.02304	0.02189	0.01494	0.0077	-0.02709	-0.01019	0.00968	0.03539
803	0.01595	-0.03475	-0.02366	0.01736	0.01256	0.0068	-0.02239	-0.00938	0.01261	0.02652
807	0.01224	-0.03141	-0.01902	0.00612	0.01266	-0.00392	-0.01328	-0.01118	0.01853	0.00571
810	0.00819	-0.03024	-0.01697	-0.00113	0.01087	-0.0089	-0.00581	-0.01099	0.02191	-0.0014
812	0.00559	-0.0281	-0.01401	-0.00619	0.01118	-0.01339	-0.00146	-0.01017	0.02423	-0.00473
813	0.00458	-0.02793	-0.01371	-0.00748	0.01052	-0.01374	0.00014	-0.00957	0.02436	-0.00512
814	0.00282	-0.02722	-0.01253	-0.00955	0.00985	-0.01499	0.00262	-0.00878	0.02456	-0.0049
815	0.00099	-0.02504	-0.01	-0.01238	0.0109	-0.0169	0.00469	-0.00649	0.02596	-0.00436
819	-0.00766	-0.0184	-0.00192	-0.02059	0.01183	-0.02	0.01353	0.00196	0.02819	0.00366
822	-0.01193	-0.01519	0.00176	-0.02149	0.01214	-0.01843	0.01593	0.00547	0.02698	0.01064
826	-0.01822	-0.00924	0.00752	-0.01974	0.01327	-0.01224	0.0169	0.01027	0.02263	0.01983
830	-0.02377	-0.00496	0.01282	-0.01218	0.013	-0.00359	0.01401	0.00751	0.01833	0.02059
835	-0.02991	-0.00054	0.01836	0.00046	0.01272	0.00899	0.00923	-0.00184	0.01433	0.01398
837	-0.03196	0.00128	0.01992	0.00632	0.01294	0.01468	0.00729	-0.00743	0.01258	0.0083
842	-0.03595	0.00463	0.02325	0.01877	0.0127	0.02642	0.00157	-0.01866	0.00883	-0.00668
843	-0.03618	0.00487	0.02337	0.01961	0.01279	0.02724	0.00139	-0.01967	0.00856	-0.00776
844	-0.03644	0.00494	0.02369	0.02029	0.01254	0.02774	0.00081	-0.02012	0.00837	-0.00866
848	0.01925	-0.03335	-0.02172	0.02276	0.01669	0.00579	-0.02856	-0.01185	0.00904	0.03745
849	0.01909	-0.03328	-0.02163	0.0223	0.0165	0.00562	-0.02806	-0.01166	0.00916	0.03622
850	0.0184	-0.03374	-0.0223	0.02137	0.01564	0.0062	-0.02705	-0.01107	0.01013	0.03455
851	0.01816	-0.03368	-0.02222	0.02076	0.01549	0.00589	-0.0265	-0.011	0.01054	0.03321
853	0.01728	-0.03318	-0.02163	0.01817	0.01527	0.00417	-0.02448	-0.0109	0.01232	0.02767
856	0.01597	-0.02785	-0.01498	0.00881	0.01909	-0.00783	-0.01943	-0.01266	0.01784	0.00772
857	0.01506	-0.02712	-0.01407	0.00627	0.01913	-0.0098	-0.01751	-0.01255	0.01944	0.00347
861	0.0082	-0.02773	-0.01406	-0.00333	0.01375	-0.01278	-0.00583	-0.0108	0.02428	-0.00388
862	0.00611	-0.02721	-0.01322	-0.00622	0.01266	-0.01398	-0.00247	-0.00969	0.02504	-0.00491
863	0.00573	-0.02677	-0.01284	-0.00705	0.01281	-0.01425	-0.0019	-0.00898	0.02551	-0.00545
869	-0.00647	-0.0174	-0.00179	-0.02076	0.01412	-0.01981	0.01209	0.00333	0.02997	0.00232
870	-0.0077	-0.01659	-0.00089	-0.02119	0.01421	-0.01948	0.01302	0.00434	0.0299	0.00444
871	-0.00907	-0.01505	0.00037	-0.02187	0.01499	-0.01875	0.01395	0.00629	0.02989	0.00699
873	-0.01309	-0.01187	0.00326	-0.02191	0.01517	-0.01562	0.01617	0.00943	0.02707	0.0138
874	-0.01485	-0.01	0.00471	-0.02166	0.0158	-0.01365	0.01681	0.01112	0.02586	0.01678
875	-0.01595	-0.00863	0.00561	-0.02135	0.01638	-0.01206	0.01716	0.01223	0.0249	0.0186
876	-0.01731	-0.0074	0.00675	-0.02058	0.01651	-0.01043	0.01729	0.01277	0.02363	0.02025
877	-0.01846	-0.00644	0.00781	-0.01952	0.01645	-0.00891	0.01699	0.01281	0.02249	0.02111
878	-0.01966	-0.0053	0.00881	-0.01788	0.01663	-0.00679	0.01662	0.0122	0.02132	0.02142
882	-0.02616	-0.00135	0.01462	-0.00688	0.01532	0.00385	0.01295	0.00448	0.01645	0.01869
883	-0.02746	-0.00062	0.01576	-0.00418	0.01504	0.00626	0.01201	0.00219	0.01565	0.01719
884	-0.02845	0.00021	0.01641	-0.00161	0.01516	0.00871	0.01154	-0.00051	0.01481	0.01526
885	-0.02937	0.00051	0.01723	0.00042	0.01459	0.01017	0.01068	-0.00245	0.0141	0.01369
886	-0.03025	0.00172	0.01761	0.00329	0.01525	0.01326	0.01039	-0.00558	0.01309	0.01106
887	-0.03152	0.0027	0.01858	0.00684	0.01524	0.01657	0.00921	-0.00909	0.01203	0.00757
889	-0.03309	0.00446	0.01945	0.01219	0.01567	0.02173	0.00783	-0.01478	0.01005	0.00144
890	-0.03393	0.00524	0.02002	0.01495	0.01582	0.02438	0.00699	-0.01772	0.00924	-0.00185
894	-0.03581	0.00626	0.02181	0.02048	0.01494	0.02901	0.0039	-0.02267	0.00759	-0.0089
896	-0.03586	0.00664	0.02161	0.02109	0.01543	0.02982	0.0043	-0.02381	0.00734	-0.00969
897	0.02005	-0.03243	-0.02039	0.02337	0.0178	0.00425	-0.02922	-0.01275	0.00767	0.03805
899	0.01967	-0.03271	-0.02081	0.02287	0.01741	0.00459	-0.0288	-0.01246	0.00843	0.03727
900	0.01919	-0.03275	-0.02092	0.02184	0.01711	0.00433	-0.02799	-0.01227	0.00944	0.03522
902	0.01865	-0.03247	-0.02058	0.02027	0.0168	0.00341	-0.0266	-0.01205	0.01029	0.03162
903	0.0187	-0.0302	-0.01771	0.01737	0.01893	-0.00153	-0.02553	-0.01319	0.01208	0.02454
904	0.0178	-0.02766	-0.01466	0.0122	0.02048	-0.00707	-0.02258	-0.01341	0.01535	0.01326
907	0.01649	-0.02549	-0.01219	0.00697	0.02155	-0.01166	-0.01949	-0.01305	0.01889	0.00331
909	0.01537	-0.02512	-0.01181	0.00468	0.02116	-0.01265	-0.01757	-0.01242	0.02043	0.00041
910	0.01438	-0.02489	-0.01156	0.0029	0.02074	-0.01336	-0.01594	-0.01191	0.02158	-0.00143
912	0.00739	-0.02546	-0.01176	-0.0061	0.01552	-0.01492	-0.00472	-0.00874	0.02625	-0.00582
918	-0.00272	-0.01686	-0.00261	-0.01974	0.01758	-0.01973	0.00773	0.00377	0.03212	-0.00266
919	-0.00292	-0.01498	-0.00145	-0.02088	0.01957	-0.0196	0.0076	0.00628	0.03322	-0.00268
920	-0.00671	-0.01464	-0.00021	-0.02167	0.01734	-0.01889	0.0115	0.00688	0.0317	0.00356
921	-0.00827	-0.01433	0.00036	-0.02196	0.01663	-0.01841	0.01303	0.00733	0.03108	0.0062
922	-0.01071	-0.01179	0.00184	-0.02236	0.01727	-0.01574	0.01478	0.01011	0.0287	0.01074
923	-0.01223	-0.00951	0.00322	-0.02272	0.01851	-0.01376	0.01548	0.01282	0.0276	0.01385
925	-0.01579	-0.00629	0.00561	-0.02169	0.01881	-0.00965	0.01704	0.01488	0.02384	0.01926
926	-0.01655	-0.00499	0.00618	-0.02122	0.01953	-0.008	0.0172	0.01563	0.02281	0.02034
927	-0.01767	-0.00442	0.00703	-0.02017	0.01924	-0.00683	0.01726	0.0151	0.02199	0.02118
929	-0.02002	-0.00254	0.00882	-0.01676	0.01942	-0.00288	0.01688	0.01304	0.02007	0.02161
931	-0.02343	-4e-04	0.01165	-0.01089	0.01876	0.00272	0.01529	0.00858	0.01723	0.02024
933	-0.02621	0.00074	0.01393	-0.00537	0.01767	0.00712	0.01376	0.00317	0.01533	0.01741
935	-0.02877	0.00227	0.0157	0.00086	0.0172	0.01232	0.01249	-0.00358	0.01329	0.01286
937	-0.03096	0.00422	0.01692	0.00735	0.01737	0.01815	0.01131	-0.0109	0.01089	0.00669
939	-0.03248	0.00583	0.01776	0.01243	0.01775	0.02299	0.01007	-0.01642	0.00906	9e-04
940	-0.03325	0.00617	0.01848	0.01456	0.01734	0.02468	0.009	-0.01844	0.00844	-0.00155
941	-0.03423	0.00706	0.01913	0.01783	0.01743	0.02771	0.00802	-0.02203	0.00739	-0.00558
943	-0.03477	0.00762	0.01937	0.01979	0.01764	0.02955	0.00771	-0.02447	0.00675	-0.00805
944	-0.03498	0.00781	0.01951	0.02053	0.01768	0.03024	0.00751	-0.02533	0.00654	-0.009
945	-0.03513	0.00782	0.0197	0.02088	0.01762	0.03057	0.0073	-0.0257	0.00656	-0.00943
946	-0.03526	0.00788	0.01982	0.02125	0.0177	0.03099	0.00726	-0.02625	0.00658	-0.00989
947	0.02117	-0.03094	-0.01826	0.02395	0.01911	0.00193	-0.02957	-0.01369	0.00528	0.03763
949	0.02086	-0.03085	-0.01821	0.02309	0.01892	0.00166	-0.02891	-0.01342	0.006	0.03566
956	0.01784	-0.02511	-0.0117	0.00906	0.02256	-0.01142	-0.0215	-0.01349	0.01701	0.00598
959	0.01623	-0.02403	-0.0107	0.0049	0.02254	-0.0135	-0.0187	-0.01229	0.02004	-0.00029
960	0.01553	-0.02363	-0.01028	0.00334	0.02245	-0.01429	-0.01751	-0.01182	0.02104	-0.00218
963	0.00784	-0.02324	-0.00978	-0.0075	0.01769	-0.0163	-0.00534	-0.007	0.02687	-0.00821
965	0.0039	-0.01868	-0.00571	-0.01472	0.01994	-0.01849	-0.00031	0.00023	0.03128	-0.00938
967	-0.00023	-0.01602	-0.00264	-0.01934	0.01985	-0.01986	0.00466	0.00439	0.03272	-0.00674
968	-0.00046	-0.01482	-0.00195	-0.01989	0.02124	-0.01957	0.00462	0.00602	0.03351	-0.00607
969	-0.00192	-0.01428	-0.00127	-0.02091	0.02088	-0.01957	0.00631	0.00702	0.03362	-0.00429
975	-0.01535	-0.0046	0.00539	-0.02221	0.02057	-0.00805	0.0168	0.01701	0.0227	0.0193
